t, ekin, erot, evib_1, evib_2, evib_3, evib_4
0.0, 2.0709735e-19, 1.5532301250000002e-19, 4.407656244414831e-20, 1.0984016394814826e-19, 1.3003559442216174e-19, 1.7063164378093217e-19
1.001001001001001e-08, 2.0238348672797966e-19, 1.5642084109024005e-19, 4.4787415605464607e-20, 1.1080814145757243e-19, 1.3109967749480595e-19, 1.7150476471932785e-19
2.002002002002002e-08, 1.9801297451536925e-19, 1.5738872922278523e-19, 4.545329459560098e-20, 1.117187259547259e-19, 1.321019914895927e-19, 1.7232861131731647e-19
3.003003003003003e-08, 1.9395656180731145e-19, 1.5823861590517004e-19, 4.607785715452227e-20, 1.12576554569466e-19, 1.330475638020209e-19, 1.731071738568999e-19
4.004004004004004e-08, 1.9018788920000645e-19, 1.5898123385445833e-19, 4.666440417753772e-20, 1.1338581384200354e-19, 1.3394093108634575e-19, 1.7384405493503874e-19
5.005005005005005e-08, 1.8668316008219976e-19, 1.5962624869325195e-19, 4.721592003923464e-20, 1.141502904894216e-19, 1.3478619467261034e-19, 1.7454251311867235e-19
6.006006006006006e-08, 1.834208536674808e-19, 1.6018238005432184e-19, 4.773510776113287e-20, 1.1487341568819468e-19, 1.355870688997989e-19, 1.7520550102446153e-19
7.007007007007007e-08, 1.8038147437250178e-19, 1.6065750719085849e-19, 4.8224419754655817e-20, 1.1555830379266207e-19, 1.3634692337025865e-19, 1.7583569861445366e-19
8.008008008008008e-08, 1.775473324376742e-19, 1.6105876128319994e-19, 4.868608475745846e-20, 1.1620778626657504e-19, 1.3706881997448778e-19, 1.7643554237599509e-19
9.00900900900901e-08, 1.7490235146969136e-19, 1.613926062953738e-19, 4.912213148669513e-20, 1.168244414860315e-19, 1.3775554540558764e-19, 1.7700725095201113e-19
1.001001001001001e-07, 1.7243189923809154e-19, 1.6166490995343754e-19, 4.9534409453995227e-20, 1.1741062097298195e-19, 1.384096397743805e-19, 1.7755284770250374e-19
1.1011011011011011e-07, 1.7012263860418667e-19, 1.618810061823823e-19, 4.992460732095628e-20, 1.1796847253553727e-19, 1.3903342184556625e-19, 1.7807418060676179e-19
